Production Date,Production Line,Equipment Efficiency,Quality Control Metric,Production Speed,Defects,Maintenance Hours,Worker Productivity
2023-09-18,Line A,0.9423999999999999,0.9,100 units/hour,3,2,0.7946
2023-07-01,Line A,0.938,0.91,103 units/hour,3,5,0.8090999999999999
2023-06-04,Line A,0.9412,0.87,113 units/hour,1,6,0.8935
2023-07-20,Line B,0.9478,0.89,110 units/hour,7,3,0.8737
2023-09-27,Line B,0.9384,0.9,115 units/hour,5,3,0.8532
2023-11-22,Line B,0.8514,0.85,99 units/hour,4,3,0.8752
2023-11-20,Line B,0.8617,0.94,115 units/hour,3,5,0.8824
2023-02-14,Line A,0.924,0.89,107 units/hour,7,4,0.8184
2023-03-24,Line A,0.9266,0.86,114 units/hour,1,5,0.7773
2023-04-30,Line B,0.8745,0.88,109 units/hour,2,3,0.8489
2023-06-30,Line B,0.9107999999999999,0.86,108 units/hour,6,7,0.8093
2023-03-22,Line B,0.9037000000000001,0.85,103 units/hour,2,4,0.8843000000000001
2023-01-03,Line A,0.9331999999999999,0.86,108 units/hour,8,4,0.7722
2023-02-09,Line A,0.8835,0.92,103 units/hour,1,4,0.8637999999999999
2023-10-17,Line A,0.8869,0.94,118 units/hour,4,6,0.8669
2023-01-30,Line A,0.8549,0.94,112 units/hour,1,5,0.8062
2023-07-18,Line A,0.9218999999999999,0.85,97 units/hour,6,7,0.8639
2023-09-11,Line B,0.8996,0.92,111 units/hour,8,3,0.8858
2023-09-15,Line A,0.8996999999999999,0.93,107 units/hour,0,2,0.7813
2023-02-18,Line B,0.9034,0.88,100 units/hour,4,6,0.838
2023-07-13,Line A,0.8919,0.89,106 units/hour,5,7,0.8621
2023-09-12,Line B,0.8665,0.85,100 units/hour,8,3,0.8373
2023-01-31,Line A,0.8588,0.94,99 units/hour,8,5,0.8393
2023-09-12,Line B,0.9131,0.86,96 units/hour,7,8,0.8946999999999999
2023-07-31,Line A,0.9203,0.92,90 units/hour,4,3,0.8832
2023-08-02,Line A,0.9451999999999999,0.9,114 units/hour,0,6,0.8742
2023-07-10,Line A,0.9434999999999999,0.95,103 units/hour,5,4,0.8240000000000001
2023-11-20,Line A,0.8867,0.87,92 units/hour,5,2,0.7567
2023-12-25,Line B,0.9229,0.85,110 units/hour,0,2,0.8047
2023-08-11,Line B,0.9431999999999999,0.91,109 units/hour,0,4,0.784
2023-06-12,Line B,0.9212,0.89,105 units/hour,8,6,0.8715
2023-12-24,Line A,0.9493,0.9,108 units/hour,5,7,0.7857
2023-11-20,Line B,0.8809,0.92,96 units/hour,0,5,0.7683
2023-03-01,Line B,0.8604,0.87,98 units/hour,5,3,0.8678
2023-08-28,Line A,0.9117000000000001,0.87,91 units/hour,8,2,0.8434
2023-10-19,Line A,0.8576,0.89,117 units/hour,6,6,0.809
2023-10-24,Line A,0.9298000000000001,0.9,113 units/hour,2,5,0.8534
2023-09-08,Line B,0.8621,0.88,110 units/hour,6,7,0.7665000000000001
2023-04-28,Line A,0.8595,0.94,91 units/hour,2,6,0.7779
2023-02-21,Line B,0.8825,0.95,110 units/hour,2,5,0.82
2023-02-23,Line B,0.9334,0.89,102 units/hour,1,7,0.8344
2023-01-31,Line A,0.9147,0.89,95 units/hour,0,7,0.8273
2023-04-13,Line B,0.8996,0.93,109 units/hour,2,3,0.779
2023-02-24,Line B,0.8787,0.92,112 units/hour,4,4,0.8265
2023-06-22,Line B,0.8573999999999999,0.87,108 units/hour,8,7,0.8808
2023-02-07,Line B,0.8647,0.87,116 units/hour,5,7,0.8195999999999999
2023-12-02,Line A,0.8883,0.94,93 units/hour,5,5,0.7966
2023-02-16,Line B,0.8645999999999999,0.94,116 units/hour,0,6,0.8859
2023-10-22,Line A,0.8649,0.91,100 units/hour,8,7,0.7537
2023-06-01,Line B,0.9128000000000001,0.93,103 units/hour,7,6,0.8397
2023-05-13,Line B,0.9033,0.86,120 units/hour,6,6,0.8262
2023-02-06,Line A,0.8562000000000001,0.91,95 units/hour,8,2,0.7698
2023-04-05,Line A,0.897,0.87,108 units/hour,0,6,0.7663
2023-11-19,Line A,0.9068,0.87,106 units/hour,7,3,0.8287
2023-06-13,Line B,0.8843000000000001,0.88,111 units/hour,8,7,0.7687999999999999
2023-04-19,Line A,0.9442,0.87,98 units/hour,3,7,0.8872
2023-04-10,Line B,0.8819,0.85,98 units/hour,5,5,0.8190000000000001
2023-06-04,Line A,0.8706,0.87,96 units/hour,2,6,0.8398
2023-11-21,Line B,0.8726999999999999,0.9,90 units/hour,1,8,0.7587999999999999
2023-08-16,Line B,0.8551000000000001,0.94,110 units/hour,5,6,0.8268000000000001
2023-06-13,Line B,0.8648,0.87,94 units/hour,0,7,0.8775
2023-02-26,Line A,0.9464,0.87,111 units/hour,1,4,0.8926999999999999
2023-03-07,Line B,0.9012,0.9,99 units/hour,5,7,0.8845999999999999
2023-02-08,Line A,0.9187000000000001,0.91,94 units/hour,5,7,0.8974
2023-12-30,Line A,0.8785,0.87,91 units/hour,3,8,0.8072
2023-04-18,Line B,0.9372,0.93,110 units/hour,8,4,0.8778
2023-03-01,Line A,0.8879,0.9,105 units/hour,6,7,0.8299
2023-12-03,Line B,0.9081999999999999,0.94,113 units/hour,8,3,0.7996
2023-09-22,Line A,0.8672,0.93,93 units/hour,5,5,0.8212
2023-07-10,Line A,0.9399,0.88,107 units/hour,0,4,0.7966
2023-07-14,Line A,0.9445999999999999,0.93,101 units/hour,3,2,0.8682
2023-03-09,Line B,0.8645999999999999,0.88,114 units/hour,4,8,0.7731
2023-04-11,Line B,0.8859999999999999,0.87,94 units/hour,7,6,0.8371
2023-12-30,Line A,0.9429000000000001,0.87,103 units/hour,2,6,0.8722
2023-09-14,Line B,0.8561,0.89,116 units/hour,6,4,0.8891
2023-05-05,Line B,0.9309000000000001,0.86,93 units/hour,8,4,0.8671
2023-01-19,Line B,0.8644,0.94,105 units/hour,1,2,0.7873
2023-06-29,Line A,0.9227,0.92,106 units/hour,7,6,0.8107
2023-01-12,Line A,0.8787,0.86,111 units/hour,5,7,0.8001
2023-07-21,Line B,0.878,0.87,117 units/hour,7,6,0.8328
2023-08-04,Line B,0.9246,0.94,101 units/hour,0,2,0.7744
2023-07-26,Line B,0.9288,0.95,97 units/hour,2,2,0.8506
2023-07-15,Line A,0.9465,0.89,97 units/hour,8,5,0.8078
2023-12-02,Line A,0.9359999999999999,0.89,102 units/hour,6,3,0.8708
2023-06-21,Line A,0.885,0.94,103 units/hour,0,5,0.8523999999999999
2023-08-21,Line B,0.9416,0.9,119 units/hour,4,8,0.8514
2023-02-24,Line A,0.888,0.86,102 units/hour,8,2,0.7954000000000001
2023-01-24,Line B,0.8812000000000001,0.87,107 units/hour,5,6,0.8913
2023-11-28,Line A,0.9016,0.94,116 units/hour,2,5,0.8929
2023-10-21,Line A,0.9242,0.91,103 units/hour,3,4,0.8703
2023-02-23,Line B,0.9137000000000001,0.86,98 units/hour,6,5,0.8056
2023-04-25,Line B,0.8669,0.92,111 units/hour,7,8,0.8146
2023-04-10,Line B,0.8809,0.85,90 units/hour,5,2,0.8797
2023-04-06,Line B,0.8691,0.9,117 units/hour,6,4,0.7585
2023-06-05,Line B,0.8504,0.92,107 units/hour,8,7,0.7658
2023-11-26,Line A,0.9365000000000001,0.9,103 units/hour,4,2,0.7504000000000001
2023-04-07,Line B,0.856,0.9,98 units/hour,1,7,0.8220999999999999
2023-10-04,Line A,0.912,0.85,116 units/hour,0,8,0.7854000000000001
2023-07-07,Line B,0.8582,0.86,111 units/hour,6,8,0.8134999999999999
2023-03-09,Line B,0.9316,0.88,101 units/hour,4,2,0.7913
2023-11-20,Line B,0.8855,0.91,91 units/hour,1,2,0.8773000000000001
2023-12-24,Line B,0.8571,0.93,101 units/hour,0,6,0.8223999999999999
2023-12-29,Line A,0.9146,0.86,92 units/hour,3,8,0.8867
2023-10-10,Line B,0.9190999999999999,0.86,116 units/hour,4,5,0.8482999999999999
2023-07-11,Line A,0.9002,0.92,104 units/hour,7,8,0.8664000000000001
2023-05-20,Line B,0.8905,0.85,93 units/hour,2,5,0.8519
2023-09-09,Line B,0.8864,0.94,104 units/hour,0,3,0.8287
2023-02-23,Line B,0.8955,0.85,99 units/hour,7,6,0.8178
2023-11-18,Line B,0.87,0.86,106 units/hour,1,7,0.8645999999999999
2023-09-10,Line B,0.9057,0.86,97 units/hour,8,4,0.8896999999999999
2023-01-28,Line B,0.9325,0.94,94 units/hour,0,4,0.8140999999999999
2023-04-07,Line A,0.8806999999999999,0.89,105 units/hour,8,6,0.7737999999999999
2023-08-20,Line B,0.8936,0.95,93 units/hour,4,5,0.8432999999999999
2023-07-09,Line B,0.894,0.94,120 units/hour,1,5,0.8633
