Production Date,Production Line,Equipment Efficiency,Quality Control Metric,Production Speed,Defects,Maintenance Hours,Worker Productivity
2023-09-18,Line A,94.24%,0.90,100 units/hour,3,2,79.46%
2023-07-01,Line A,93.80%,0.91,103 units/hour,3,5,80.91%
2023-06-04,Line A,94.12%,0.87,113 units/hour,1,6,89.35%
2023-07-20,Line B,94.78%,0.89,110 units/hour,7,3,87.37%
2023-09-27,Line B,93.84%,0.90,115 units/hour,5,3,85.32%
2023-11-22,Line B,85.14%,0.85,99 units/hour,4,3,87.52%
2023-11-20,Line B,86.17%,0.94,115 units/hour,3,5,88.24%
2023-02-14,Line A,92.40%,0.89,107 units/hour,7,4,81.84%
2023-03-24,Line A,92.66%,0.86,114 units/hour,1,5,77.73%
2023-04-30,Line B,87.45%,0.88,109 units/hour,2,3,84.89%
2023-06-30,Line B,91.08%,0.86,108 units/hour,6,7,80.93%
2023-03-22,Line B,90.37%,0.85,103 units/hour,2,4,88.43%
2023-01-03,Line A,93.32%,0.86,108 units/hour,8,4,77.22%
2023-02-09,Line A,88.35%,0.92,103 units/hour,1,4,86.38%
2023-10-17,Line A,88.69%,0.94,118 units/hour,4,6,86.69%
2023-01-30,Line A,85.49%,0.94,112 units/hour,1,5,80.62%
2023-07-18,Line A,92.19%,0.85,97 units/hour,6,7,86.39%
2023-09-11,Line B,89.96%,0.92,111 units/hour,8,3,88.58%
2023-09-15,Line A,89.97%,0.93,107 units/hour,0,2,78.13%
2023-02-18,Line B,90.34%,0.88,100 units/hour,4,6,83.80%
2023-07-13,Line A,89.19%,0.89,106 units/hour,5,7,86.21%
2023-09-12,Line B,86.65%,0.85,100 units/hour,8,3,83.73%
2023-01-31,Line A,85.88%,0.94,99 units/hour,8,5,83.93%
2023-09-12,Line B,91.31%,0.86,96 units/hour,7,8,89.47%
2023-07-31,Line A,92.03%,0.92,90 units/hour,4,3,88.32%
2023-08-02,Line A,94.52%,0.90,114 units/hour,0,6,87.42%
2023-07-10,Line A,94.35%,0.95,103 units/hour,5,4,82.40%
2023-11-20,Line A,88.67%,0.87,92 units/hour,5,2,75.67%
2023-12-25,Line B,92.29%,0.85,110 units/hour,0,2,80.47%
2023-08-11,Line B,94.32%,0.91,109 units/hour,0,4,78.40%
2023-06-12,Line B,92.12%,0.89,105 units/hour,8,6,87.15%
2023-12-24,Line A,94.93%,0.90,108 units/hour,5,7,78.57%
2023-11-20,Line B,88.09%,0.92,96 units/hour,0,5,76.83%
2023-03-01,Line B,86.04%,0.87,98 units/hour,5,3,86.78%
2023-08-28,Line A,91.17%,0.87,91 units/hour,8,2,84.34%
2023-10-19,Line A,85.76%,0.89,117 units/hour,6,6,80.90%
2023-10-24,Line A,92.98%,0.90,113 units/hour,2,5,85.34%
2023-09-08,Line B,86.21%,0.88,110 units/hour,6,7,76.65%
2023-04-28,Line A,85.95%,0.94,91 units/hour,2,6,77.79%
2023-02-21,Line B,88.25%,0.95,110 units/hour,2,5,82.00%
2023-02-23,Line B,93.34%,0.89,102 units/hour,1,7,83.44%
2023-01-31,Line A,91.47%,0.89,95 units/hour,0,7,82.73%
2023-04-13,Line B,89.96%,0.93,109 units/hour,2,3,77.90%
2023-02-24,Line B,87.87%,0.92,112 units/hour,4,4,82.65%
2023-06-22,Line B,85.74%,0.87,108 units/hour,8,7,88.08%
2023-02-07,Line B,86.47%,0.87,116 units/hour,5,7,81.96%
2023-12-02,Line A,88.83%,0.94,93 units/hour,5,5,79.66%
2023-02-16,Line B,86.46%,0.94,116 units/hour,0,6,88.59%
2023-10-22,Line A,86.49%,0.91,100 units/hour,8,7,75.37%
2023-06-01,Line B,91.28%,0.93,103 units/hour,7,6,83.97%
2023-05-13,Line B,90.33%,0.86,120 units/hour,6,6,82.62%
2023-02-06,Line A,85.62%,0.91,95 units/hour,8,2,76.98%
2023-04-05,Line A,89.70%,0.87,108 units/hour,0,6,76.63%
2023-11-19,Line A,90.68%,0.87,106 units/hour,7,3,82.87%
2023-06-13,Line B,88.43%,0.88,111 units/hour,8,7,76.88%
2023-04-19,Line A,94.42%,0.87,98 units/hour,3,7,88.72%
2023-04-10,Line B,88.19%,0.85,98 units/hour,5,5,81.90%
2023-06-04,Line A,87.06%,0.87,96 units/hour,2,6,83.98%
2023-11-21,Line B,87.27%,0.90,90 units/hour,1,8,75.88%
2023-08-16,Line B,85.51%,0.94,110 units/hour,5,6,82.68%
2023-06-13,Line B,86.48%,0.87,94 units/hour,0,7,87.75%
2023-02-26,Line A,94.64%,0.87,111 units/hour,1,4,89.27%
2023-03-07,Line B,90.12%,0.90,99 units/hour,5,7,88.46%
2023-02-08,Line A,91.87%,0.91,94 units/hour,5,7,89.74%
2023-12-30,Line A,87.85%,0.87,91 units/hour,3,8,80.72%
2023-04-18,Line B,93.72%,0.93,110 units/hour,8,4,87.78%
2023-03-01,Line A,88.79%,0.90,105 units/hour,6,7,82.99%
2023-12-03,Line B,90.82%,0.94,113 units/hour,8,3,79.96%
